 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-08-09_14:26:51      9.9e+37             26.5023             26.5887             26.5634             
 2018-08-09_14:27:02      9.9e+37             26.5082             26.5929             26.5698             
 2018-08-09_14:27:13      9.9e+37             26.5118             26.5985             26.5748             
 2018-08-09_14:27:23      9.9e+37             26.5133             26.6016             26.5751             
 2018-08-09_14:27:34      9.9e+37             26.5159             26.6028             26.579              
 2018-08-09_14:27:45      9.9e+37             26.5201             26.6071             26.5867             
 2018-08-09_14:27:55      9.9e+37             26.5254             26.6114             26.5848             
 2018-08-09_14:28:06      9.9e+37             26.5262             26.6154             26.5885             
 2018-08-09_14:28:17      9.9e+37             26.5276             26.6176             26.5928             
 2018-08-09_14:28:27      9.9e+37             26.5335             26.6205             26.5947             
 2018-08-09_14:28:38      9.9e+37             26.5331             26.6237             26.6014             
 2018-08-09_14:28:49      9.9e+37             26.5361             26.6272             26.6015             
 2018-08-09_14:28:59      9.9e+37             26.5385             26.6284             26.6038             
 2018-08-09_14:29:10      9.9e+37             26.542              26.6314             26.6059             
 2018-08-09_14:29:20      9.9e+37             26.544              26.6332             26.6077             
 2018-08-09_14:29:31      9.9e+37             26.5443             26.6352             26.6115             
 2018-08-09_14:29:42      9.9e+37             26.5465             26.6367             26.6126             
 2018-08-09_14:29:52      9.9e+37             26.5496             26.6399             26.6149             
 2018-08-09_14:30:03      9.9e+37             26.5494             26.6408             26.6141             
 2018-08-09_14:30:14      9.9e+37             26.5516             26.6424             26.6168             
 2018-08-09_14:30:24      9.9e+37             26.5534             26.6454             26.6172             
 2018-08-09_14:30:35      9.9e+37             26.5562             26.6461             26.6177             
 2018-08-09_14:30:46      9.9e+37             26.5565             26.6471             26.6244             
 2018-08-09_14:30:56      9.9e+37             26.5585             26.6491             26.6249             
 2018-08-09_14:31:07      9.9e+37             26.5599             26.65               26.6255             
 2018-08-09_14:31:18      9.9e+37             26.561              26.6535             26.6261             
 2018-08-09_14:31:28      9.9e+37             26.5611             26.6501             26.6286             
 2018-08-09_14:31:39      9.9e+37             26.5633             26.6524             26.6287             
 2018-08-09_14:31:50      9.9e+37             26.5653             26.6544             26.6314             
 2018-08-09_14:32:00      9.9e+37             26.5643             26.658              26.6322             
 2018-08-09_14:32:11      9.9e+37             26.568              26.657              26.6339             
 2018-08-09_14:32:22      9.9e+37             26.5692             26.6609             26.6337             
 2018-08-09_14:32:32      9.9e+37             26.5719             26.659              26.6365             
 2018-08-09_14:32:43      9.9e+37             26.5728             26.6635             26.6377             
 2018-08-09_14:32:54      9.9e+37             26.5709             26.6638             26.6375             
 2018-08-09_14:33:04      9.9e+37             26.572              26.6631             26.6379             
 2018-08-09_14:33:15      9.9e+37             26.5748             26.6642             26.6396             
 2018-08-09_14:33:26      9.9e+37             26.5752             26.666              26.6404             
 2018-08-09_14:33:36      9.9e+37             26.5775             26.6656             26.6399             
 2018-08-09_14:33:47      9.9e+37             26.5758             26.668              26.6415             
 2018-08-09_14:33:58      9.9e+37             26.578              26.6662             26.6434             
 2018-08-09_14:34:08      9.9e+37             26.5778             26.6686             26.6432             
 2018-08-09_14:34:19      9.9e+37             26.5777             26.6689             26.6434             
 2018-08-09_14:34:30      9.9e+37             26.5809             26.6674             26.6439             
 2018-08-09_14:34:40      9.9e+37             26.5796             26.6687             26.6457             
 2018-08-09_14:34:51      9.9e+37             26.5791             26.6685             26.6433             
 2018-08-09_14:35:02      9.9e+37             26.5772             26.6695             26.6426             
 2018-08-09_14:35:12      9.9e+37             26.581              26.6703             26.6456             
 2018-08-09_14:35:23      9.9e+37             26.5795             26.671              26.6451             
 2018-08-09_14:35:33      9.9e+37             26.5776             26.6693             26.6458             
 2018-08-09_14:35:44      9.9e+37             26.584              26.6706             26.6472             
 2018-08-09_14:35:55      9.9e+37             26.5806             26.6698             26.6471             
 2018-08-09_14:36:05      9.9e+37             26.5819             26.6723             26.6452             
 2018-08-09_14:36:16      9.9e+37             26.5835             26.6705             26.6469             
 2018-08-09_14:36:27      9.9e+37             26.5823             26.6725             26.6487             
 2018-08-09_14:36:37      9.9e+37             26.582              26.6708             26.6489             
 2018-08-09_14:36:48      9.9e+37             26.5826             26.6722             26.6474             
 2018-08-09_14:36:59      9.9e+37             26.584              26.6703             26.6502             
 2018-08-09_14:37:09      9.9e+37             26.5828             26.6725             26.6461             
 2018-08-09_14:37:20      9.9e+37             26.5864             26.6754             26.6515             
 2018-08-09_14:37:31      9.9e+37             26.592              26.678              26.6566             
 2018-08-09_14:37:41      9.9e+37             26.5962             26.6775             26.6555             
 2018-08-09_14:37:52      9.9e+37             26.5978             26.6799             26.6558             
 2018-08-09_14:38:03      9.9e+37             26.6005             26.6806             26.659              
 2018-08-09_14:38:13      9.9e+37             26.6003             26.6797             26.6588             
 2018-08-09_14:38:24      9.9e+37             26.6019             26.6834             26.6607             
 2018-08-09_14:38:35      9.9e+37             26.6039             26.6816             26.6631             
 2018-08-09_14:38:45      9.9e+37             26.6017             26.6811             26.6627             
 2018-08-09_14:38:56      9.9e+37             26.6031             26.6819             26.6615             
 2018-08-09_14:39:07      9.9e+37             26.6046             26.6842             26.6637             
 2018-08-09_14:39:17      9.9e+37             26.6053             26.6851             26.6655             
 2018-08-09_14:39:28      9.9e+37             26.6081             26.6855             26.6656             
 2018-08-09_14:39:39      9.9e+37             26.6083             26.6877             26.6674             
 2018-08-09_14:39:49      9.9e+37             26.6087             26.6897             26.6688             
 2018-08-09_14:40:00      9.9e+37             26.61               26.693              26.6722             
 2018-08-09_14:40:11      9.9e+37             26.6139             26.6922             26.6754             
